CustomerName,AccountID
174 Power Global Northeast,651513355997
A.Smith & Co. Productions,367510441862
Aeroservices Limited,457347208717
AI Rayan Bank,514832112577
AIA,171328581101
Amber Infrastructure Ltd,647657267831
Amnesty International Ltd.,902845115230
Aquahydrate,312226970479
Ascot Underwriting Limited,278492392207
Asia Super Market Buffalo LLC,777144841540
Aubin Limited,698149422520
BDO LLP,879366685318
Betclic Everest Group,065496700178
BKUK Group Ltd,335113171426
BKUK Group Ltd,156180565493
BKUK Group Ltd,418282511922
Boden Group,457530258428
Bord Bia,780292083465
Boston Proper LLC,079711650162
Brentford Football Club,373458728156
Bridgeman Art Library Ltd,457939608778
British Board of Agrement,206124571149
C Hoare & Co,796708898225
Cafe Direct,389217581374
Caffe Nero Group,192575060726
CASI Pharmaceuticals,534909313517
Centamin Egypt Limited,337555012337
Centralnic Group plc,605576532809
Centtrip Card Ltd,170260899620
Chariot Plumbing Supply and Design,770474817405
Childrensalon Ltd,938209307924
Citizens Advice,766316459907
Citrus Springs Group LLC,213475430245
Clean Beauty,175671521038
Cloudfm Integrated Services Ltd,939395348719
CLS Services Ltd,050653661110
Colliers International,469165539181
ContraFect Corporation,398770529436
ContraFect Corporation,403991281608
CPI Mortars Ltd,217389137627
Custom Pharmaceuticals Ltd,119768937872
D & D London Ltd,934817872543
DACS,748479260962
Data Dynamics,611028591766
DD Chemco,843411295633
Dyehard Fan Supply,530323417941
EagleMoss Publications Ltd,090402447788
Eastland Food Corporation,151297221372
Eco Sustainable Solutions Ltd,308544830442
ED & F  Man Holdings Ltd,188068849053
EEF Limited,007791826814
Electric Glass Fiber America LLC,505306905701
Emergent BioSolutions,098368372066
Evanston Group,353646075376
Evolito Ltd,298703116830
Falcon Trade Corporation,549483675440
Flood Re Ltd,789493521270
Foresters Ltd,817072643255
Formaplex Technologies Limited,666384725620
Formaplex Technologies Limited,783130364621
Fresh n Lean,475536916239
FT Technologies UK Ltd,156731607081
FUJAX,248794008418
Genexus International Inc.,640002456495
Global Holdings Management Group (UK) Ltd,286664315848
Global Web Index s.r.o.,330344468084
GSH India Private Limited,308535209591
HANA Cloud,440296404218
HANA Cloud2,918411168655
HANA Cloud3,257841742418
Hanwha Energy Corp,241734445558
Harvey & Thompson,367153557180
HIB Ltd,421991730482
Hines India Real Estate Private Limited,628839650351
Horticulture Lighting Group,516702199911
Hounslow & Richmond Community Healthcare,936894452880
HPK Industries,147605529403
Hull Blyth,916165997884
Huntsman Building Solutions (Europe) BV,139983784743
Huntsman Building Solutions (USA) LLC,350857431802
IMS Trading,339824126274
Indo Count Industries,568773044147
Infra Balance New Energy,297558402720
Infrared,445783513673
Innovative Dimmers,599116045661
Intercarabao Limited,477903390412
Into Film,720226606241
IPM Foods,784810411815
JAC Travel Ltd,324451962486
Jacob Ash Holdings Inc,285942855666
JPW Technologies,279060517130
K&M Accessories,619429821605
KBS Maritime,425566380111
Kellex Corp,028342380854
Kinetic UK Ltd,373641993861
Kirkby (Tyres) Ltd,708136847608
Kiyoi Inc,377598316675
Langham Industries,806588349680
Legacy Converting,732217340900
LiDCO Ltd,217415864548
LighterLife UK,130000332572
LiquiTech,024274067065
Love Blue Marble,586871905272
Lumondi Inc,630344429828
Lumos Foundation,054444721211
M & S Logistics,790140643725
Macintyre Hudson LLP,725242886851
Mangas Gambling Engineering,790537731085
Marie Stopes International,114693592154
Marke Creative Merchandise Limited,412071183824
Mars Information Services,329653640179
Massachusetts Design,884570065905
Master Concessionair,759041053671
Maysta International Ltd,943380615265
Mazule Holdings (Pty) Ltd,680130429690
MDE Services Group Limited,748002803257
MEDIA iQ Digital Ltd,743506205776
Media Source Inc.,125581076990
Megger Group Ltd,928261380503
Meitheal Pharmaceuticals,069686988385
MEPC,766772365925
Meri Meri,182779105697
Micro Format Inc,743582876094
Mileway Real Estate UK Ltd,358091582931
Mitsui E & P UK Limited,337501172124
Morris Angel & Son Limited,304369218309
Nanotronics,462112362848
Nationwide Pharmaceutical,539697005124
Natural Immunogenics,757264949268
Nephila Syndicate Management Ltd,113623786704
Networking People UK,621242720394
NJ Bio  Inc.,079420342680
Northern Central Distributing,527346941010
Numis Securities,349517352205
Ocean Partners UK Ltd,674031969143
Odgers Berndtson,836854449622
Ombligo,267850501953
One YMCA,285689612494
Ortho Solutions,539821222608
Otsuka Pharmaceutical Europe 1,646982107514
Otsuka Pharmaceutical Europe 2,054062076072
Pac-Dent Inc,043515071723
PeoplePlus Group Ltd,331209632194
Peri-Dent Limited,399802496560
Pet Mate Ltd,103168223905
Plastpro Inc.,453749592001
Polo Commercial Insurance Services Limited,606480439165
Precision Refrigeration Limited,983777536337
PSE Kinsale Energy Ltd,564630830166
Pure Search,743864264236
RAM Products LTD,346342386114
Ramblers Association,344710897815
REB Storage Systems International,957844009077
Reservoir Group,537663928639
RK Stratman 1,412020342383
RK Stratman 2,562917334156
Royal College of Anaesthetists,937681236771
S4C,378215654842
SafeGuard World International,721693754581
Salus North America Inc.,187612301768
Salus North America Inc.,277808248430
Sapphire Systems Plc.,694688774478
Sapphire Systems Plc.2,121677519751
Sapphire Systems Plc.3,163971169411
Sapphire Systems Plc.4,812224207958
Sapphire Systems Plc.5,435629205066
Sapphire Systems Plc.6,331421447233
Sapphire Systems Plc.7,057820410219
Sapphire Systems Plc.8,593147995557
Sapphire Systems Plc.9,411141351445
Sapphire Systems Plc.10,040572446079
Sapphire Systems Plc.11,221258319518
Sapphire Systems Plc.12,726367670369
Sapphire Systems Plc.13,093887375120
Sapphire Systems Plc.14,883225223399
Sapphire Systems Plc.15,760046683048
Sapphire Systems Plc.16,856956497920
Sapphire Systems Plc.17,518620402828
Sapphire Systems Plc.18,231639157514
Sapphire Systems Plc.19,274894176448
Sapphire Systems Plc.20,461908473453
Sapphire Systems Plc.21,826143970327
Sapphire Systems Plc.22,842795750939
Sapphire Systems Plc.23,024454674998
Sapphire Systems Plc.24,264309510997
Sapphire Systems Plc.25,444413628818
Sapphire Systems Plc.26,770894895139
Sapphire Systems Plc.27,405592752766
Sapphire Systems Plc.28,382425629656
Sauce Ventures LLC,437434737292
Savills,458306359400
Sea Fish Industry Authority,646973270511
Securities Institute,223039956558
Seiko UK Ltd,432927901268
Seiko UK Ltd,276612882802
Sekura Global,282308021024
Sequa Petroleum,414295896904
Serica Energy (Via Sword IT Solutions),750094456937
ShaMaran Petroleum,877408395890
SHL Group Limited,161602823002
Sirius International Insurance Corp.,813769985121
Sona Enterprises,460261364213
South Western Railway,369633690244
Spafax Airline Network Limited,542491155249
Stevenage Leisure Limited,608076283963
Sumitomo Mitsui Trust Bank (U.S.A.) Limited,994300150783
Summit Exploration and Production Limited,874962864349
Summit Hotel Properties,774050295613
Sungara Energies Limited,731169435475
Suzuki GB,413894548802
Svelte Medical Systems Inc,266791560991
Sweetener Products,406678635424
TextHelp,988362871348
TFG Brands (London),415801384368
The National Deaf Children's Society,275453154042
The Riverside Group,550366850080
The Rug Company,193808344899
The Scout Association,790250734681
Time Out Group PLC,249456197809
TONYMOLY USA LLC,685958884363
Tristan Capital Partners LLP,809086936343
UK Steel Enterprise Ltd,223120883143
Union Maritime Ltd,782989141828
United Reformed Church Trust,433407817111
Usborne Publishing,717928221529
Veridium US,458046590586
Vevo,803561780427
Village Super Markets,932058450284
Vitrek Corporation,931420747123
Want2bthere Ltd,021102460088
Warehouse Rack Company,061262271534
Water & Sanitation for the Urban,047459166365
Water Corporation,946216288663
Wendy Wu Tours,022843720144
WeWork,331680903830
William Reed Ltd,864421281260
Winfields Limited,227424001457
Winfields Limited,360334532961
WuXi AppTec,153569136452
